c The Problem describing the plan needed for the murder mystery story
p cnf 117 268
-1 0
-2 8 0
-2 -86 0
-2 -93 0
-2 50 0
-3 15 0
-3 -86 0
-3 -93 0
-3 50 0
-4 22 0
-4 -86 0
-4 -93 0
-4 50 0
-5 29 0
-5 -86 0
-5 -93 0
-5 50 0
-6 36 0
-6 -86 0
-6 -93 0
-6 50 0
-7 43 0
-7 -86 0
-7 -93 0
-7 50 0
-9 0
-8 2 0
-8 -87 0
-8 -94 0
-8 51 0
-10 16 0
-10 -87 0
-10 -94 0
-10 51 0
-11 23 0
-11 -87 0
-11 -94 0
-11 51 0
-12 30 0
-12 -87 0
-12 -94 0
-12 51 0
-13 37 0
-13 -87 0
-13 -94 0
-13 51 0
-14 44 0
-14 -87 0
-14 -94 0
-14 51 0
-17 0
-15 3 0
-15 -88 0
-15 -95 0
-15 52 0
-16 10 0
-16 -88 0
-16 -95 0
-16 52 0
-18 24 0
-18 -88 0
-18 -95 0
-18 52 0
-19 31 0
-19 -88 0
-19 -95 0
-19 52 0
-20 38 0
-20 -88 0
-20 -95 0
-20 52 0
-21 45 0
-21 -88 0
-21 -95 0
-21 52 0
-25 0
-22 4 0
-22 -89 0
-22 -96 0
-22 53 0
-23 11 0
-23 -89 0
-23 -96 0
-23 53 0
-24 18 0
-24 -89 0
-24 -96 0
-24 53 0
-26 32 0
-26 -89 0
-26 -96 0
-26 53 0
-27 39 0
-27 -89 0
-27 -96 0
-27 53 0
-28 46 0
-28 -89 0
-28 -96 0
-28 53 0
-33 0
-29 5 0
-29 -90 0
-29 -97 0
-29 54 0
-30 12 0
-30 -90 0
-30 -97 0
-30 54 0
-31 19 0
-31 -90 0
-31 -97 0
-31 54 0
-32 26 0
-32 -90 0
-32 -97 0
-32 54 0
-34 40 0
-34 -90 0
-34 -97 0
-34 54 0
-35 47 0
-35 -90 0
-35 -97 0
-35 54 0
-41 0
-36 6 0
-36 -91 0
-36 -98 0
-36 55 0
-37 13 0
-37 -91 0
-37 -98 0
-37 55 0
-38 20 0
-38 -91 0
-38 -98 0
-38 55 0
-39 27 0
-39 -91 0
-39 -98 0
-39 55 0
-40 34 0
-40 -91 0
-40 -98 0
-40 55 0
-42 48 0
-42 -91 0
-42 -98 0
-42 55 0
-49 0
-43 7 0
-43 -92 0
-43 -99 0
-43 56 0
-44 14 0
-44 -92 0
-44 -99 0
-44 56 0
-45 21 0
-45 -92 0
-45 -99 0
-45 56 0
-46 28 0
-46 -92 0
-46 -99 0
-46 56 0
-47 35 0
-47 -92 0
-47 -99 0
-47 56 0
-48 42 0
-48 -92 0
-48 -99 0
-48 56 0
-50 2 3 4 5 6 7 0
-51 8 10 11 12 13 14 0
-52 15 16 18 19 20 21 0
-53 22 23 24 26 27 28 0
-54 29 30 31 32 34 35 0
-55 36 37 38 39 40 42 0
-56 43 44 45 46 47 48 0
 59 0
 62 0
 65 0
 68 0
 71 0
 74 0
 77 0
-85 -51 0
-85 79 0
-85 -50 0
-85 108 0
85 0
-86 0
87 0
-88 0
-89 0
-90 0
-91 0
-92 0
93 0
-94 0
-95 0
-96 0
-97 0
-98 0
-99 0
-100 0
-101 0
102 0
-102 52 -80 -63 -108 0
-102 52 -80 -64 -109 0
-102 52 -80 -65 -110 0
103 0
-103 53 -81 -66 -108 0
-103 53 -81 -67 -109 0
-103 53 -81 -68 -110 0
104 0
-104 54 -82 -69 -108 0
-104 54 -82 -70 -109 0
-104 54 -82 -71 -110 0
105 0
-105 55 -83 -72 -108 0
-105 55 -83 -73 -109 0
-105 55 -83 -74 -110 0
106 0
-106 56 -84 -75 -108 0
-106 56 -84 -76 -109 0
-106 56 -84 -77 -110 0
-52 0
80 0
-55 0
-108 72 0
-109 73 0
-110 74 0
81 0
-108 66 0
-109 67 0
-110 68 0
-108 57 -50 78 0
-109 58 -50 78 0
-110 59 -50 78 0
-108 60 -51 79 0
-109 61 -51 79 0
-110 62 -51 79 0
-108 63 -52 80 0
-109 64 -52 80 0
-110 65 -52 80 0
-108 66 -53 81 0
-109 67 -53 81 0
-110 68 -53 81 0
-108 69 -54 82 0
-109 70 -54 82 0
-110 71 -54 82 0
-108 72 -55 83 0
-109 73 -55 83 0
-110 74 -55 83 0
-108 75 -56 84 0
-109 76 -56 84 0
-110 77 -56 84 0
-108 60 0
-109 61 0
-110 62 0
108 109 110 0
-108 -109 0
-108 -110 0
-109 -110 0
